HSCode;Description;Heading;Chapter
0101210010;Endangered wild horses, pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101210090;Other horses, pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101290010;Endangered wild horses, other than pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101290090;Horses, other than pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101301010;Endangered wild asses, pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101301090;Other asses, pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101309010;Endangered wild asses, other than pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101309090;Other asses, other than pure-bred breeding;Live horses, asses, mules and hinnies;Live animals
0101900000;Mules and hinnies;Live horses, asses, mules and hinnies;Live animals
0102210000;Cattle, pure-bred breeding;Live bovine animals;Live animals
0102290000;Cattle, other than pure-bred breeding;Live bovine animals;Live animals
0102310010;Endangered buffalo, pure-bred breeding;Live bovine animals;Live animals
0102310090;Other buffalo, pure-bred breeding;Live bovine animals;Live animals
0102390010;Endangered buffalo, other than pure-bred breeding;Live bovine animals;Live animals
0102390090;Other buffalo, other than pure-bred breeding;Live bovine animals;Live animals
0102901010;Endangered wild bovine, pure-bred breeding;Live bovine animals;Live animals
0102901090;Other bovine, pure-bred breeding, other than cattle and buffalo;Live bovine animals;Live animals
0102909010;Endangered wild bovine, non pure-bred breeding;Live bovine animals;Live animals
0102909090;Other bovine, non pure-bred breeding, other than cattle and buffalo;Live bovine animals;Live animals
0103100010;Babyrousa,Porcula Salvania,pure-bred breeding;Live swine;Live animals
0103100090;Other live swine, pure-bred breeding;Live swine;Live animals
0103911010;Other wild swine, weighing less than 10kg(other than pure-bred breeding);Live swine;Live animals
0103911090;Other live swine, weighing less than 10kg(other than pure-bred breeding);Live swine;Live animals
0103912010;Other wild swine, weighing 10kg or more, but less than 50kg(other than pure-bred breeding);Live swine;Live animals
0103912090;Other live swine, weighing 10kg or more, but less than 50kg(other than pure-bred breeding);Live swine;Live animals
0103920010;Other wild live swine, weighing 50kg or more(other than pure-bred breeding);Live swine;Live animals
0103920090;Other live swine, weighing 50kg or more(other than pure-bred breeding);Live swine;Live animals
0104101000;sheep,Pure-bred breeding;Live sheep and goats;Live animals
0104109000;Other sheep(other than pure-bred breeding);Live sheep and goats;Live animals
0104201000;goats,Pure-bred breeding;Live sheep and goats;Live animals
0104209000;Other goats(other than pure-bred breeding);Live sheep and goats;Live animals
0105111000;Fowls of the species Gallus domesticus,weighing not more than 185g, Pure-bred breeding;Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105119000;Other fowls of the species Gallus domesticus,weighing not more than 185g(other than pure-bred breeding);Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105121000;Turkeys, weighing not more than 185g, pure-bred breeding;Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105129000;Other turkeys, weighing not more than 185g(other than pure-bred breeding);Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105131000;Ducks, weighing not more than 185g, pure-bred breeding;Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105139000;Other ducks, weighing not more than 185g(other than pure-bred breeding);Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
0105141000;Geese, weighing not more than 185g, pure-bred breeding;Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls;Live animals
